"","ID","GPA_1","GPA_2","GPA_3","GPA_4","GPA_5","GPA_6","Degrees_1","Degrees_2","Degrees_3","Degrees_4","Degrees_5","Degrees_6","avg_degrees","Homophily_1","Homophily_2","Homophily_3","Homophily_4","Homophily_5","Homophily_6","GPA_Diff1","GPA_Diff2","GPA_Diff3","GPA_Diff4","GPA_Diff5","GPA_Diff6"
"168","X168",4,4.28571428571429,4,4,3.57142857142857,3.57142857142857,3,8,3,0,2,4,3.33333333333333,"0.515491311776451","0.643253157344064","0.184427778390829","NaN","0.225876975726313","0.807381838830593","0.369047619047619","-0.249255952380952","0.142857142857143","NaN","0.0714285714285712","0.245535714285714"
"169","X169",3.875,3.5,4,4,3.625,3.625,2,1,2,7,1,0,2.16666666666667,"0.537645329190164","0.125","1","0.925820099772551","1","NaN","0.4375","0.125","-1","-0.571428571428571","1","NaN"
"170","X170",3.33333333333333,3.66666666666667,3.5,3.5,3.33333333333333,3.33333333333333,2,5,7,13,38,36,16.8333333333333,"0.899430170451978","0.622540512209771","0.397474667257061","0.587377121582303","0.669955023312555","0.707359357724162","0.764880952380952","0.392857142857143","0.232142857142857","0.36492673992674","0.481203007518797","0.506117724867725"
"171","X171",3.28571428571429,3.28571428571429,3.28571428571429,3.28571428571429,3.42857142857143,3.42857142857143,3,2,2,2,3,7,3.16666666666667,"0.474600520245272","0.622927402473864","0.31943828249997","0.287691570799871","0.342559394522337","0.584668055133747","0.412698412698413","0.440476190476191","0.285714285714286","0.261904761904762","0.261904761904762","0.438775510204082"
"172","X172",4.125,4,4.125,4.125,4.25,4.25,4,5,6,21,34,30,16.6666666666667,"0.314012778312142","0.389032610306753","0.568257570707744","0.532162577566588","0.618528082732696","0.668707901098593","-0.130952380952381","-0.176190476190476","-0.5","-0.200113378684807","-0.22671568627451","-0.287301587301587"
"173","X173",4.14285714285714,4.14285714285714,4.14285714285714,4.14285714285714,4.14285714285714,4.14285714285714,7,7,3,4,8,3,5.33333333333333,"0.383765390096043","0.359184921599048","0.522047903554303","0.371153744479045","0.617234926168013","0.0831204764510053","-0.0178571428571432","-0.0195578231292521","-0.345238095238096","-0.178571428571429","0.0267857142857139","0.0416666666666664"
"174","X174",4,4.33333333333333,4,4,4,4,0,2,3,2,0,1,1.33333333333333,"NaN","0.589255650988789","0.136082763487955","0.117851130197758","NaN","1","NaN","-0.416666666666667","0.111111111111111","0.0833333333333335","NaN","-1"
"175","X175",4.16666666666667,4,4.16666666666667,4.16666666666667,4.16666666666667,4.16666666666667,4,1,2,0,7,6,3.33333333333333,"0.640095478989051","0.142857142857143","0.218866384652979","NaN","0.604217978116644","0.561083607686782","-0.125","0.142857142857143","-0.154761904761905","NaN","-1.90308458476134e-16","-0.111111111111111"
"176","X176",4.625,4.375,3,3,4.375,4.375,15,10,15,14,21,18,15.5,"0.660794718398948","0.582208585246468","0.857341246882151","0.877313684089987","0.681463136789306","0.726946327949197","-0.445238095238095","-0.278571428571429","0.480952380952381","0.551020408163265","-0.354591836734694","-0.46031746031746"
"177","X177",4.14285714285714,4.125,4,4,4.28571428571429,4.28571428571429,5,2,4,6,10,12,6.5,"0.568743692496983","0.565961571133589","0.707106781186548","0.912870929175277","0.483247558656891","0.55448273682972","-0.557142857142857","-0.5625","-0.5","-0.5","-0.0363095238095237","-0.175595238095238"
