"","ID","GPA_1","GPA_2","GPA_3","GPA_4","GPA_5","GPA_6","Degrees_1","Degrees_2","Degrees_3","Degrees_4","Degrees_5","Degrees_6","avg_degrees","Homophily_1","Homophily_2","Homophily_3","Homophily_4","Homophily_5","Homophily_6","GPA_Diff1","GPA_Diff2","GPA_Diff3","GPA_Diff4","GPA_Diff5","GPA_Diff6"
"494","X494",3.13610735860768,3.13610735860768,3.13610735860768,3.13610735860768,3.13610735860768,3.13610735860768,4,7,8,1,1,2,3.83333333333333,"0.728622215234999","0.842438365538588","0.854674870066074","0.479027641120844","0.218821053873684","0.507842005707906","0.697102889467108","0.777289118502818","0.74618885586703","0.479027641120844","0.218821053873684","0.451435508445674"
"495","X495",4.28737038269936,4.28737038269936,4.28737038269936,4.28737038269936,4.28737038269936,4.28737038269936,5,0,3,3,3,9,3.83333333333333,"0.669817625404847","NaN","0.659722711935492","0.460917817596273","0.398166007446097","0.6237755843445","-0.12899454392066","NaN","-0.532497118765902","-0.416060456042564","-0.0796951924139375","-0.284650868011416"
"496","X496",3.79984149705767,3.79984149705767,3.79984149705767,3.79984149705767,3.79984149705767,3.79984149705767,7,2,5,7,7,5,5.5,"0.169434038523397","0.129922570749543","0.189354102726704","0.226298222295628","0.348972961597655","0.514921675781337","0.0519501790115963","0.0214773266391266","0.0694586222490487","-0.0910233014421472","-0.224524301600792","0.119434792838977"
"497","X497",4.46915083322555,4.46915083322555,4.46915083322555,4.46915083322555,4.46915083322555,4.46915083322555,2,3,1,4,5,3,3,"0.919249609492043","0.813925731039842","0.540425077069626","0.898110733202343","0.772155664367946","0.720837593663558","-0.885198744297242","-0.771909403985848","-0.540425077069626","-0.757973009253172","-0.657305169742348","-0.593791329757758"
"498","X498",3.61513499972852,3.61513499972852,3.61513499972852,3.61513499972852,3.61513499972852,3.61513499972852,17,19,18,22,15,9,16.6666666666667,"0.375595059151415","0.449742003309333","0.535453360849309","0.471588945085658","0.509247525556853","0.60351820944123","0.165882280587365","0.226587547781526","0.277001609569244","0.218521631548917","0.283787221154878","0.366495167546759"
"499","X499",3.21688927100982,3.21688927100982,3.21688927100982,3.21688927100982,3.21688927100982,3.21688927100982,0,0,0,1,1,0,0.333333333333333,"NaN","NaN","NaN","1.512939279402","1.512939279402","NaN","NaN","NaN","NaN","1.512939279402","1.512939279402","NaN"
"500","X500",4.21053824004366,4.21053824004366,4.21053824004366,4.21053824004366,4.21053824004366,4.21053824004366,0,0,0,1,0,7,1.33333333333333,"NaN","NaN","NaN","0.0937128571825188","NaN","0.87661836942976","NaN","NaN","NaN","-0.0937128571825188","NaN","-0.72136322883426"
"501","X501",3.10914935609654,3.10914935609654,3.10914935609654,3.10914935609654,3.10914935609654,3.10914935609654,0,0,0,0,0,0,0,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"502","X502",4.17841130130543,4.17841130130543,4.17841130130543,4.17841130130543,4.17841130130543,4.17841130130543,1,5,2,3,3,1,2.5,"0.291983520893149","0.807555678955613","0.552150919927747","1.02338322406126","0.798475132572106","1.10940381092373","-0.291983520893149","-0.446503242278851","-0.508099099602022","-0.880302343645102","-0.209650649835957","-1.10940381092373"
"503","X503",4.23658032227573,4.23658032227573,4.23658032227573,4.23658032227573,4.23658032227573,4.23658032227573,0,2,0,0,6,3,1.83333333333333,"NaN","0.631648701129076","NaN","NaN","0.622757933173613","0.49332248802944","NaN","-0.573208134457651","NaN","NaN","-0.3356442291698","-0.213710812656275"
